job_key,job_id,job_kind,title,company_name,company_industry,company_stage,company_size,location,salary,experience,education,benefits,detail_update_time,detail_recruit_count,detail_labels,match_reason,source_url,page_url,job_url,first_seen_at,last_seen_at,job_intro,company_intro
unknown:79890015,79890015,unknown,风控运营总监,某成都知名公司,"互联网,网络/信息安全,云计算/大数据",融资未公开,100-499人,成都,35-50k,5-10年,本科,,9月20日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/a/79890015.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00," 数据链风控（核心）
 建立企业端→政府端数据全链路风控机制，确保数据采集、传输、存储、展示全节点可审计、防篡改；
 制定数据质量 SLA 标准，监控企业端数据上报的完整性、及时性、真实性，识别数据断流、数据造假、延迟超标等异常；
 牵头搭建数据异常预警体系：传感器离线、关键指标突变、数据趋势异常等场景的自动化告警与处置；
 协同技术团队推进区块链存证、数字签名等数据可信技术在产品中的落地。
 政企合规管理
 跟踪住建领域法规政策（安全生产法、建筑法、数据安全法、个人信息保护法），输出政策解读与合规应对方案；
 主导政府监管平台合规审查：确保平台通过住建部门验收标准，满足政务信息系统建设管理要求；
 跟进信创适配要求，确保产品在国产化环境中合规运行。
 业务连续性风控
 建立双端 SLA 监控体系：企业端故障直接影响政府监管能力，确保核心数据链路高可用；
 制定极端场景应急预案：大面积传感器离线、网络攻击、数据中台故障等场景的应急响应流程；
 定期组织双端联动应急演练，验收恢复时间目标（RTO）和恢复点目标（RPO）。
 项目交付风险管控
 建立政企项目招投标合规审查流程：投标承诺能兑现、合同条款不踩红线、交付标准可量化；
 监控在施项目的交付进度、数据接入质量、验收风险，前置预警延期或验收不通过的风险；
 协同售前团队把控售前承诺的可交付性，避免中标后做不了的系统性风险。
 数据主权与隐私保护
 建立政企数据分类分级体系，明确什么数据上政府端、什么数据留企业端、什么数据需双向同步；
 确保数据采集边界清晰：施工现场实名制、人脸识别等涉及个人隐私的数据，采集与使用全程合规；
 主导数据安全事件应急响应机制，定期开展渗透测试与安全审计。
 团队建设
 从 0 到 1 搭建风控运营团队（策略、数据合规、业务连续性、审计方向）；
 推动全员风险意识培训，让销售、交付、产研都理解不是能不能做，而是做了会不会出事",
unknown:1985758645,1985758645,unknown,阿里妈妈-风险策略运营-杭州,阿里巴巴集团,互联网,已上市,10000人以上,杭州,30-50k,经验不限,本科,,9月20日更新,招1人,,标题领域词=风险; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/zpfengxianyunying/pn1/,https://www.liepin.com/job/1985758645.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00,"职位描述
 1、风控策略运营：负责内容安全策略的全链路运营，涵盖政策解读、风险感知与研判、特征挖掘及风控策略制定，保障业务合规经营；
2、AI智能化升级：在深刻理解业务的基础上，运用大模型、Agent 等 AI 技术升级风险识别与决策链路，提升风险判别的智能化水平与决策效率，推动整体风控平台智能化建设；
3、跨团队协同：整合资源，协同上下游各职能团队，推动重要风控项目落地，平衡业务和风险控制，保障营销广告业务健康发展； 
 职位要求 
 1、本科以上学历，数学、统计、计算机、法律等相关专业优先；
2、2年以上数据分析、电商平台风控相关工作经验，有数据挖掘、数据化运营经验者优先；
3、风险意识强，具备风险识别、分析、研判的技能，并有良好的业务感知和理解能力；
4、对AI有好奇心，有探索意愿，有Prompt设计、RAG、Agent工作流等实践经验者加分；
5、优秀的自我驱动能力，并且具备较强的学习能力、创新突破能力及沟通协调能力。","阿里巴巴集团的使命是让天下没有难做的生意。
我们旨在赋能企业改变营销、销售和经营的方式。我们为商家、品牌及其他企业提供基本的互联网基础设施以及营销平台，让其可借助互联网的力量与用户和客户互动。我们的业务包括核心电商、云计算、数字媒体和娱乐以及创新项目和其他业务。我们并通过子公司菜鸟网络及所投资的关联公司口碑，参与物流和本地服务行业，同时与蚂蚁金融服务集团有战略合作，该金融服务集团主要通过中国**的第三方网上支付平台支付宝运营。
我们的愿景
我们旨在构建未来的商务生态系统。我们的愿景是让客户相会、工作和生活在阿里巴巴，并持续发展最少102年。

申请此职位表明您已阅读并同意阿里巴巴及关联公司的《申请工作机会须知》，具体请看链接：***************************************************"
unknown:1985598813,1985598813,unknown,媒体信息风险治理运营-CQC,字节跳动,互联网,融资未公开,10000人以上,高新区,10-17k·15薪,2-6年,本科,,9月20日更新,招1人,,标题领域词=风险; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/zpfengxianyunying/pn1/,https://www.liepin.com/job/1985598813.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00,"职位亮点
健身瑜伽，六险一金，免费三餐，弹性工作，租房补贴

职位描述
1、统筹对接各业务线提报的合规需求，对相关内容进行资质核验与登记，确保内容准入合规；
2、为多端业务提供从前期项目评估、内容审核到合规系统提交的全流程服务，撰写相关评估/审核文书并存档；
3、负责内容发布管控系统的配置与操作，执行审核通过内容的上线分发、业务策略配置，以及风险/版权问题内容的拦截与修复；
4、建立风险治理数据监控体系，定期对合规审查情况、线上异常事件等进行业务分析，识别风险漏洞并持续优化审核与管控策略。

职位要求
1、本科及以上学历，具备扎实的内容安全风险意识和版权法律储备；
2、熟悉国家相关法律法规及互联网内容监管政策，了解视频平台内容安全机制，具备扎实的技术实操和系统配置能力；
3、熟悉互联网媒体生态，有影视内容运营/质量管理经验者优先；
4、具备较强的策略意识、业务数据分析能力和项目统筹推进能力，能够跨部门协同解决问题；
5、具备极强的政策敏感度和风险识别能力，严谨细致，能处理大量文书及排查工作。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:1985741029,1985741029,unknown,内容风控模型运营,字节跳动,互联网,融资未公开,10000人以上,北京-慈云寺,20-40k·15薪,3-5年,本科,年终奖金 | 节日礼物 | 定期体检 | 加班补贴,9月19日更新,招1人,年终奖金 | 节日礼物 | 定期体检 | 加班补贴 | 发展空间大 | 公司规模大 | 管理规范 | 住房补贴 | 六险一金 | 免费三餐,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/pn2/,https://www.liepin.com/job/1985741029.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00,"职位描述
1、业务建模与流程优化：负责内容安全风控场景下的模型需求挖掘与全链路运营优化，精准识别并突破现有业务流程卡点，持续拓展大模型在内容风控领域的应用边界与价值上限；
2、链路梳理与效率提升：主导内容风控业务整体模型与产品链路的梳理、衔接与重构，实现工具从""功能堆砌""向""产品化、场景化、智能化""演进，推动业务流程标准化与自动化，系统性提升内容审核效率与质量；
3、大模型技术落地与演进：主导大模型在内容风控场景中的应用规划与技术选型，包括但不限于内容理解、风险分类、策略生成、问题处置、智能追因等方向；跟踪大模型技术前沿，评估新技术在内容安全业务中的落地价值与可行性；
4、跨团队协同与生态建设：与产研、策略、运营等团队实现紧密协作，建立模型-工具-业务的闭环反馈机制，推动风控工具与能力的平台化输出与优秀实践沉淀。
职位要求
1、本科及以上学历，计算机、人工智能、统计学、数学等相关专业优先，具备复杂业务场景下的产品方案设计与模型应用落项目落地经历；
2、深入理解大模型基本原理、能力边界与典型应用范式，有过Agent、Copilot等交互范式在B端场景的落地经验，主导过至少一个模型+工具相关项目从方案设计到上线运营的完整闭环；
3、有跨多团队协同推进模型、工具、业务流程迭代优化的经验，能够将业务需求转化为清晰的模型与工具目标，能快速理解工具平台化的建设思路，有过将单点工具升级为平台化产品的经验者优先；
4、有产品、策略设计、内容质量管控等相关领域经验，或对内容风控业务有基础认知为加分项；
5、对新技术有较强学习能力与热情，并探索新技术在真实业务场景中的可行范式。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:1985738983,1985738983,unknown,项目总监/规避运营风险,陕西靖德信息科技有限公司,互联网,1-49人,,上海-航华,13-17k·13薪,经验不限,学历不限,全勤奖 | 海归补贴 | 绩效奖金 | 提供住宿,9月19日更新,招1人,全勤奖 | 海归补贴 | 绩效奖金 | 提供住宿 | 休闲餐点 | 带薪年假 | 定期体检 | 通讯津贴 | 加班补贴 | 购房津贴,标题领域词=风险; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/zpfengxianyunying/pn1/,https://www.liepin.com/job/1985738983.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00,"工作内容：
1、排查消防设施确保完好
2、做好施工记录
3、做好专项验收现场核查
4、明确地面找平层标高控制方法
5、跟进项目进度及时同步
岗位职责：
1、做事井然有序
2、恪尽职守沉稳处事
3、改进做事方法
4、恪尽职守，勤恳耐劳，以责任心完成每项。",
unknown:1985695581,1985695581,unknown,集团安全部-智能体安全运营-Harness风险治理,阿里巴巴集团,互联网,已上市,10000人以上,杭州,10-20k,经验不限,硕士,,9月17日更新,招1人,,标题领域词=风险; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/zpfengxianyunying/pn1/,https://www.liepin.com/job/1985695581.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00,"职位描述
 负责智能体Harness（Skill、RAG、记忆等）的共性行为安全风险的发现、检测与防控能力建设。围绕 Agent 应用落地到各行业业务场景后暴露出的行为失控、组件被污染等业务风险，聚焦 Agent Harness 的资产发现与动态风险检测，联动网络安全、数据安全及业务部门构建纵深的 Agent 行为风控能力，持续降低智能体在真实业务流程中＂做错事＂和＂被污染＂的风险，保障智能体业务安全、稳定、可控地运行。 
 职位要求 
 1、硕士及以上，计算机、人工智能、信息安全、网络安全等相关专业；1年以上 AI 安全、应用安全或安全攻防相关经验，深度参与智能体或 AI 应用项目者优先；
2、AI 安全认知：深入理解 LLM 推理机制与 Agent 运行范式，熟悉工具调用、记忆管理、RAG、多 Agent 协作机制，能从攻击者视角识别 Agent 在业务场景中的系统性行为风险并定位关键风险点；
3、攻防技术基础：具备扎实的攻防技术基础与良好的技术动手能力，熟悉 Skill、RAG、记忆等 Agent Harness 组件的风险面，能够独立设计并实现 Skill 动态风险检测、投毒检测、检索召回去毒等能力，构建可复用的自动化检测工具链；
4、对 AI 安全领域有强烈兴趣与自驱力，主动跟踪最新风险与治理技术；具备跨团队沟通能力。
加分项：
1、有 AI 智能体应用风险挖掘或治理的成功案例，或在SRC/CVE中有相关成果；
2、有Agent 安全工具/平台开发经验。","阿里巴巴集团的使命是让天下没有难做的生意。
我们旨在赋能企业改变营销、销售和经营的方式。我们为商家、品牌及其他企业提供基本的互联网基础设施以及营销平台，让其可借助互联网的力量与用户和客户互动。我们的业务包括核心电商、云计算、数字媒体和娱乐以及创新项目和其他业务。我们并通过子公司菜鸟网络及所投资的关联公司口碑，参与物流和本地服务行业，同时与蚂蚁金融服务集团有战略合作，该金融服务集团主要通过中国**的第三方网上支付平台支付宝运营。
我们的愿景
我们旨在构建未来的商务生态系统。我们的愿景是让客户相会、工作和生活在阿里巴巴，并持续发展最少102年。

申请此职位表明您已阅读并同意阿里巴巴及关联公司的《申请工作机会须知》，具体请看链接：***************************************************"
unknown:1985707155,1985707155,unknown,机审运营专家（国际化广告风控业务） - 国际化商业安全,字节跳动,互联网,融资未公开,10000人以上,上海-漕河泾,30-60k,3-5年,本科,,9月17日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/pn2/,https://www.liepin.com/job/1985707155.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00,"【职位描述】
团队介绍：国际化商业安全团队致力于在国际化用户、企业和产品之间建立安全可靠的连接。我们通过一系列完善的系统和能力，审核广告内容、预测政策违规行为，并执行广告审核通过或拒绝的措施。
作为国际商业化团队的业务合作伙伴，我们提供的业务诚信解决方案不仅确保国际化业务始终是一个安全、积极、友好的用户环境，同时也推动业务增长。

1、深耕政策架构、AI智能能力、系统设计与运营治理的交叉领域，负责将复杂且不断演进的政策要求，转化为结构化、可机器执行的审核与操作逻辑；
2、参与部门规模化、AI驱动治理模式的升级转型，构建结构化、智能化、可衡量的自动化审核体系框架，在保障平台生态安全与合规的同时，支持业务可持续增长：
1）推进和落地以机审优先为核心的审核策略并覆盖各业务线；
2）在保障质量指标（FDR、CCR）的前提下，持续提升机审覆盖，不断降低人工审核人力；
3、负责机审体系的运营优化与技术升级：
1）建立业务升级治理机制，推进治理平台和工具开发，减少人工干预；
2）将政策/规则/细则转化为结构化、可机审可执行规则，并负责政策迭代中的机审运营调整；
3）与政策和算法团队协作，提升规则表达清晰度与机审系统兼容性；
4）构建可规模化的机审运营流程，降低广告漏放保障平台安全，同时降低误伤提升收益；
5）支持算法新模型新架构的创建、测试、上线、监控和迭代；
6）搭建并不断优化各业务线和各机审环节的AI Agent和Agentic Workflow；
4、负责机审能力迭代升级：
1）针对机审错误开展归因分析，提升模型与Agent推理准确率；
2）建立自动化质检和归因机制，分析审核漏判与误杀类型，推动机审能力的持续优化；
3）推进机审运营自动化，构建自适应闭环机审质量管理和策略优化自动化机制；
5、与业务、算法、产品、政策、质检及运营团队紧密协作，保障机审运营的效率和质量，支持新市场及新业务线的自动化能力落地与推广。

 
【职位要求】
1、3-5年内容审核运营工作经验；
2、具备较强的分析能力与结构化思维能力，熟悉RCA方法论；
3、具备LLM模型、智能体，工作流和提示词编写经验；
4、拥有完整的从0到1的自动化审核的项目落地经验；
5、熟悉效率与质量指标体系及运营治理机制；
6、具备推动复杂工作流与跨团队项目落地的能力。

优先考虑
1、有数字广告或平台生态相关经验者优先；
2、有内容审核政策制定、拆解和优化经验者优先。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:1985707175,1985707175,unknown,规则运营专家（国际化广告风控业务） - 国际化商业安全,字节跳动,互联网,融资未公开,10000人以上,徐汇区,30-60k,经验不限,本科,,9月17日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/pn2/,https://www.liepin.com/job/1985707175.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00,"【职位描述】
团队介绍：国际化商业安全团队致力于在国际化用户、企业和产品之间建立安全可靠的连接。我们通过一系列完善的系统和能力，审核广告内容、预测政策违规行为，并执行广告审核通过或拒绝的措施。
作为国际商业化团队的业务合作伙伴，我们提供的业务诚信解决方案不仅确保国际化业务始终是一个安全、积极、友好的用户环境，同时也推动业务增长。

1、负责指定政策方向的内容治理细则（Guidance）设计、迭代与维护，确保规则表达清晰、执行口径一致，并适配人审、机审双场景；将政策精神、风险要求与业务背景转化为可执行的内容治理逻辑、决策标准与结构化判断框架；
2、持续跟踪违规趋势、规避玩法、区域差异及新兴风险，及时推动内容治理细则更新与执行策略调整；必要时参与内容治理或策略验证，确保细则与实际内容治理场景紧密贴合，并验证执行效果；
3、参与复杂、疑难及边界案例研判，沉淀案例标准并持续迭代内容治理细则，减少不同团队、地区及执行链路间的判定偏差；通过日常案例研判与归因分析，识别政策执行中的模糊点、误判模式与系统性问题，推动闭环优化；
4、与产品、工程、风险治理及内容治理运营团队协作，推动内容治理细则与内容治理工具、模型能力及执行流程的对齐与落地；
5、建设并维护高质量Ground Truth、Golden Set及相关标注资产，支持模型训练、质量校准与内容治理效果验证；
6、支持SOP、培训材料及知识体系建设，提升内容治理细则的可理解性、可用性与跨团队复用效率。

 
【职位要求】
1、3年及以上政策、风险治理、质量运营、审核运营或自动审核运营工作经验；
2、优秀的中英文书面与口头沟通能力，表达清晰、关注细节，能在跨团队协作中推动复杂事项达成共识；
3、较强的分析能力，能结合定性与定量信号识别趋势、定位根因并推动优化落地；
4、能适应高复杂度、信息不完全的工作环境，在模糊场景下形成高质量判断。

加分项
1、对人工审核与机器审核流程有扎实理解，能准确把握政策解释、执行标准与审核链路之间的关系；
2、具备将复杂政策要求转化为结构化、可执行逻辑的能力，能在准确性、一致性与可操作性之间取得平衡；
3、有广告审核、商业化风控、平台治理或政策执行相关经验；
4、有与机器学习、算法、Prompt Engineering或自动审核产品协作的经验；
5、有复杂政策拆解、边界案例校准、RCA或跨区域审核一致性治理经验。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:1985655807,1985655807,unknown,风控运营,相信光(重庆)网络科技有限公司,互联网,50-99人,,长宁区,15-25k·14薪,3-5年,本科,,9月16日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/job/1985655807.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00,"工作职责：
1. 监控和处理平台内的异常行为，通过SQL、Power BI，系统平台等工具，追踪用户行为，判断和处理异常风险点。
2. 对账号安全/羊毛/支付/交易等风险场景有丰富的处置经验
3. 负责完善和优化异常行为的处置流程，对风控侧的用户反馈进行调查和处理
4. 发现新型异常行为和模式，及时总结并且与对应业务线的风控策略进行沟通，完善防控方案
 
任职要求：
1. 有风控策略，风控审核工作经验为佳。
2. 具备良好的风险识别和评估能力。
3. 具备良好的沟通能力和团队协作精神，能够在压力下工作。
4. 可熟练使用数据分析工具（如SQL，python等）",
unknown:1985672947,1985672947,unknown,电商风险运营岗（项目统筹方向）(J12893),云雀(邯郸)信息技术有限公司,互联网,100-499人,,北京-马连洼,13-18k,3年以上,大专,五险一金 | 年终奖金 | 定期体检 | 岗位晋升,9月16日更新,招1人,五险一金 | 年终奖金 | 定期体检 | 岗位晋升 | 公司规模大 | 管理规范 | 技能培训,标题领域词=风险; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/job/1985672947.shtml,2026-09-23T14:01:43+08:00,2026-09-23T14:01:43+08:00,"职责描述：
1、根据平台发布的管理规则、专项治理要求，开展专项排查与整改规避违规风险；
2、对广告法等有一定认知，在电商、广告行业有过3年审核及相关从业经验；
3、根据团队定位和平台业务，对电商、广告政策风险进行分析、研判、分发与跟进；
4、跨部门进行沟通协作，优化审核规则、审核策略；
5、应急响应能力，能够快速根据行业变化制定相关跟进策略。
任职要求：
1、大专及以上学历，具备良好的电商、广告安全理解能力；
2、具备优秀的沟通能力与抗压能力，责任心强，能够与业务一起并肩作战；
3、有一定数据分析能力，能够完成数据交叉比对分析等。","云雀是腾讯集团子公司，立足于为腾讯PCG（平台与内容事业群）旗下QQ、腾讯视频、腾讯新闻、微视、腾讯体育等产品提供生态安全服务、内容质量运营服务，并负责生态安全、内容质量等相关的基础能力建设，建立了高效可靠的智能算法能力、专业工具平台能力、人工审核/标注执行能力等。同时，云雀作为集团内部专业子公司，也广泛服务于腾讯其他事业群等内部客户需求。
云雀总部位于天津，并在北京、天津、青岛、武汉、海口、邯郸、成都、重庆等地拥有办公区或执行基地，目前公司自有员工规模超过3000人。"
