job_key,job_id,job_kind,title,company_name,company_industry,company_stage,company_size,location,salary,experience,education,benefits,detail_update_time,detail_recruit_count,detail_labels,match_reason,source_url,page_url,job_url,first_seen_at,last_seen_at,job_intro,company_intro
unknown:75963319,75963319,unknown,风控策略运营专家,某互联网公司,互联网/电商,融资未公开,10000人以上,杭州,35-50k·16薪,5-10年,本科,,5月22日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/a/75963319.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"岗位描述
负责平台商家合规经营、履约能力提升的建设与优化;
2、从业务、支付、价格等角度挖掘风险特征，设计并实施风险解决方案;
3、深入分析平台风险数据，通过大数据能力挖掘平台风险，提前感知并预警风险;监控风险指标，识别异常并制定干预措施，确保业务风险可控，推动风险管理流程持续优化。
岗位要求
1、数学、统计、安全、风险管理相关专业，大学本科学历以上:
有5年以上安全相关的工作经验，有电商风控、金融风控，风险分析、数据化运营经验者优先;良好的沟通能力，较强的逻辑思维能力和跨部门协同能力，能够独立开展项目;熟练掌握SOL/python/R等分析语言及工具，熟练掌握风险分析技巧;具有敏锐的风,险意识和风险判断力，对风险控制有深刻理解，思维敏捷，学习能力强",
unknown:1982637373,1982637373,unknown,商家风控运营专家-抖音生活服务,字节跳动,互联网,融资未公开,10000人以上,朝阳区,35-55k·15薪,3-5年,本科,,5月22日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkong/ | https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkong/ | https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/job/1982637373.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"职位描述: 
1、负责生活服务的风控运营工作，完成相关风险场景的定义、识别策略部署、处置动作的落地等；
2、有效协同横向团队，整合产品、研发、算法资源达成业务结果；
3、通过数据分析、运营手段管控治理商家、平台经营过程中遇到的资产损失、被恶意攻击等问题；通过产品、技术能力迭代提升攻防效率；
4、通过深入调查黑灰产市场，建立有效监控渠道和手段，持续进行风险类情报的监控采集，为业务提供情报服务；
5、通过指标监控和数据分析，及时掌握风险及业务的变化，根据实际情况持续优化调整政策、规则或模型。

职位要求: 
1、本科及以上学历，3年及以上互联网产品运营经验，具备风控、法律、规则等相关工作背景者优先；
2、具备优秀的结构化思维能力，能洞察用户痛点并把握问题本质，设计可切实落地的方案，有业务和数据分析的经验和知识，善于应用数据分析发现和挖掘问题；
3、善于交流，有良好的资源协调和沟通能力，有跨部门多方密切配合的经验和意识，需要有效协调多方资源，推落地，拿结果的实战经验；
4、具备较强的适应能力，能够自我驱动不断提升。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:1982730463,1982730463,unknown,国际化广告风控治理运营（亚太市场）-Global Business Solutions,字节跳动,互联网,融资未公开,10000人以上,徐汇区,20-35k·15薪,3-5年,本科,,5月21日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/pn2/,https://www.liepin.com/job/1982730463.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"职位描述: 
1、负责国际化广告业务的质检合规核查工作，基于标准通过日常抽检及专项治理等形式，识别来自“客户入驻、广告投放、履约结算、人员执行、流程规则、产品能力”等各环节问题，并推动改善和解决，支持业务和团队健康发展；
2、确保合规标准执行的一致性以及治理结果的准确性，为后期治理数据分析提供数据支持，并通过数据分析支持持续的风险监控实施；
3、与本地业务团队利益相关者及关键跨职能团队合作伙伴深入协作，提供专业的流程改进建议和合规方案支持，共同推动治理目标的完成；配合和响应公司层面的调查治理需求，以持续提升业务团队的风险合规意识；
4、跟踪行业动态与新兴风险模式，对监控中发现的异常和潜在风险及时反馈，并提出可落地的合理优化建议。

职位要求: 
1、本科及以上学历，具备1年以上广告行业经验，具备广告风控、合规、商业化治理、审核策略相关经验者优先；
2、熟悉广告行业，具备跨国或跨区域项目协作经验者优先，对国际化广告业务的运作模式与流程有基本认知；
3、具备较好的沟通表达和协作能力，能够与各地各团队伙伴进行灵活沟通；
4、具备一定的数据挖掘、分析和提炼总结能力，能够独立撰写分析报告及治理方案；
5、因工作沟通需要，具备良好的英文&中文口头与书面表达能力。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:1982716461,1982716461,unknown,电商风险运营（行业治理）,字节跳动,互联网,融资未公开,10000人以上,西安-民乐园,30-45k·15薪,3-5年,本科,,5月20日更新,招1人,,标题领域词=风险; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/job/1982716461.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"该岗位可Base郑州/西安/成都
岗位职责
1、已知风险水位压降：针对平台已知的风险能够建立有效的处置机制流程，及时处置相关风险，压降平台风险水位；
2、新增风险场景评估：能够针对新增潜在风险进行有效评估，协同行业治理同学及时对风险定性处置，保障新增风险能够被及时发现及时处置；
3、平台风控能力建设：能够从风险治理的全链路进行分析，如：规则覆盖率，模型召回率，内容质量把控准确率，资金空置率，售后赔付率等，及时发现平台在治理各个环节的漏洞，建立有效协同机制推动问题解决，提升平台风险全链路管控能力；
4、平台产品能力运营：具备经营意识，有较强的产品思维，能够及时发现平台工具产品中可优化的问题，及时协同产品算法团队，推进问题的解决，提升业务团队整体工作效率。

任职要求
1、基础能力：本科及以上学历，具备优良的学习能力与学习意识，积极乐观；
2、行业专业力：对电商业务场景（或商业化场景）熟悉，了解电商常见风险作恶作弊场景，针对消费者的反馈，能够及时定位商家／达人违规问题者优先；
3、数据分析力：具备较强的数据分析能力，能够及时发现分析数据中的问题；能够搭建业务指标体系，通过指标体系驱动业务；
4、协同沟通能力：能够进行换位思考，能够站在不同视角思考，有条理有逻辑的沟通表达能力，并且能够建立简洁高效的运营机制；
5、项目管理运营：能够独立负责项目，建立有效高效的协同机制，能够与协同方高效沟通，共识项目推进节奏进展，保障项目能够有效推进落地。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:1976975375,1976975375,unknown,商品库产品运营（大模型/基建方向）-国际化广告审核风控业务,字节跳动,互联网,融资未公开,10000人以上,上海-漕河泾,20-40k·15薪,3-5年,本科,,5月20日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/pn2/,https://www.liepin.com/job/1976975375.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"职位描述: 
1、跟进广告视频/落地页商品的工程和模型识别效果，协同标注团队关注准召表现，协助整理识别问题并推动优化；
2、参与商品属性（类别、品牌等）定义、细节校验与补全，维护属性标签体系准确性；
3、协助分析商品相似特征应用效果，收集业务反馈支撑策略迭代；
4、协同技术、业务团队推进商品理解相关运营动作，保障落地执行；
5、监控商品理解核心数据（识别准确率、属性完整度等），定期输出复盘报告。

职位要求: 
1、本科及以上学历，电子商务、大模型、数据统计等相关专业优先；
2、1-2年互联网运营经验，有广告/电商平台运营、大模型运营、商品数据整理经验者优先；
3、具备基础数据分析能力（熟练使用Excel，会SQL者优先），能快速定位数据问题；
4、擅长跨团队沟通协作，有较强的执行推进力和细节把控能力；
5、英语读写能力强，听说能力经过适应期可作为工作语言；
6、工作积极主动，抗压性强，对广告电商商品业务有兴趣。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:1982718267,1982718267,unknown,直播风险运营（应急处置）-CQC,字节跳动,互联网,融资未公开,10000人以上,北京-姚家园,20-40k·15薪,3-7年,本科,,5月20日更新,招4人,,标题领域词=风险; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/job/1982718267.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"职位描述
1、治理需求承接：承接直播治理中台、治理BP的治理需求，前置对齐双方协作目标、结果评价指标；过程中，协调内外部资源完成风险解析、特征挖掘、 链路摸排、治理跟进等闭环动作；
2、风险主动发现：对负责风险域的内外部生态和具体风险形式有深刻的理解，利用渠道内索材优势，主动挖掘、预警视野外风险、未知风险，并做好后续的治理跟进闭环；
3、内容治理交付支持：发挥专业力和治理资源调动能力，服务审核交付团队，对疑难场景做好特征挖掘探寮推进策路治理，降低人审难度、助力指标向好。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:1982719679,1982719679,unknown,风险线索挖掘运营-CQC,字节跳动,互联网,融资未公开,10000人以上,北京-大钟寺,25-45k,3-5年,本科,六险一金 | 带薪休假 | 免费三餐 | 房租补贴,5月20日更新,招2人,六险一金 | 带薪休假 | 免费三餐 | 房租补贴,标题领域词=风险; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/zpfengxianyunying/pn1/,https://www.liepin.com/job/1982719679.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"1、充分理解业务安全风险，建立业务风险监控体系，对业务及安全专项风险进行系统性分析、风险定位以及策略制定；
2、组织应对业务及安全专项工作，充分了解和应用内外部团队能力、推动团队相关风险挖掘能力的落地及发现能力提升，实现安全风险的有效及时发现并推进业务治理落地及风险解决效果跟进；
3、衔接业务安全需求及内部协作，平衡内外部压力，提升运营效率。","字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。
字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。"
unknown:75810367,75810367,unknown,(高P)风险治理策略-资深运营专家,某北京大型互联网公司,互联网,10000人以上,,北京,110-170k,5-10年,本科,,5月19日更新,招1人,,标题领域词=风险; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengxianyunying/,https://www.liepin.com/zpfengxianyunying/pn1/,https://www.liepin.com/a/75810367.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"1. 战略规划与执行。制定并执行本地生活到店业务的履约保障策略，确保用户端体验与商家端履约质量，推动业务长期健康发展。
2. 风险管控与危机处理：建立并完善风险监控机制，识别潜在履约风险（如商家违约、服务质量问题等），制定预防与应急方案。处理重大用户投诉、商家纠纷或法律争议，协调内外部资源，确保问题高效解决并维护公司声誉。
3. 跨部门协作与流程优化。与产品、技术、运营、法务等部门紧密合作，推动履约流程数字化与系统建设，优化用户体验与商家操作效率。

职位描述
1. 5年以上本地生活、O2O、电商或相关领域工作经验，3年以上团队管理经验。
2. 熟悉本地生活到店业务流程（如核销、维权、售后服务等），有履约管理或风险管理经验者优先。
3. 卓越的领导力与团队管理能力，能有效激励团队并推动目标达成。",
unknown:1980673811,1980673811,unknown,风控策略运营,小红书,互联网,D轮及以上融资,1000-2000人,朝阳区,25-50k·16薪,3-5年,本科,,5月15日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/pn2/,https://www.liepin.com/job/1980673811.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"工作职责：
1、策略制定与维护：负责平台账号全生命周期与流量安全层面的风险策略运营，对抗机器注册、盗号、爬虫、刷量、自动化脚本、设备群控等黑灰产行为
2、数据分析与风险挖掘：监控账号安全与流量安全核心指标，通过 SQL/Python 挖掘异常数据特征，发现潜在风险并输出分析报告
3、闭环运营机制建设：建立风险感知—策略处置—效果评估的闭环运营机制，持续优化策略命中率与拦截精准度，平衡安全与用户体验
4、案件处置与策略调优：处理用户关于账号封禁的申诉，分析误判原因，优化策略逻辑，降低误杀率
5、治理推进与跨部门协作：主导冷门接口、低优先级服务的风险识别与治理，协调算法、研发、产品、业务等相关方完成策略迭代与系统能力（如验证码、设备指纹、人脸识别等）的落地

任职资格：
1、本科及以上学历，统计学、计算机、数学或相关专业优先
2、3年以上互联网风控策略运营经验，有大型社交、电商或 O2O 平台账号风控或流量治理经验者优先
3、精通 SQL，具备一定的 Python 数据分析能力与数据建模思维
4、对互联网＂黑灰产＂产业链有深刻理解，熟悉常见攻击手段（爬虫、刷量、批量注册、设备群控等）及防御逻辑
5、数据敏感度高，能从海量数据中发现风险规律，具备策略设计与效果评估能力
6、具备极强的逻辑思维能力、抗压能力和沟通协作能力，善于跨团队拉齐认知、推动治理落地","小红书由毛文超和瞿芳于2013年在上海创立。小红书以“Inspire Lives分享和发现世界的精彩”为使命，用户可以通过短视频、图文等形式记录生活点滴，分享生活方式，并基于兴趣形成互动。

 2018年6月1日，小红书完成了超过3亿美元的新一轮融资，由阿里巴巴领投，金沙江创投、腾讯投资、纪源资本、元生资本、天图投资、真格基金、K11郑志刚先生等机构公司及个人跟投，估值超过30亿美元。截至到2019年10月，小红书月活跃用户数已经过亿，其中70%用户是90后，并持续快速增长。
凭借真实、向上、多元的社区氛围，小红书已成为年轻人不可替代的生活方式平台和消费决策入口，具有制造流行和热点的能力。

 小红书社区目前内容覆盖时尚、美妆、个护、美食、旅行、娱乐、读书、健身、母婴等各个生活方式领域，每天产生超过80亿次的笔记曝光。过去一年中，小红书用户分享的内容呈几何级数增长，截止到2019年12月，用户分享笔记量增长4.4倍，其中教育学习类笔记发布量上涨6.4倍，体育赛事类上涨8.4倍，摄影类上涨6.2倍。

 作为生活方式社区，小红书因“种草经济”闻名，独特性就在于，大部分互联网社区更多是依靠线上的虚拟身份，而小红书用户发布的内容都来自于真实生活。对用户而言，小红书并不能像其他虚拟社区一样，提供线上内容消费的即时满足感。用户在小红书不论是发现了一支适合自己的口红，还是发现了一个想去的景点或餐厅，想要获得消费的满足感，必须在现实生活中才能完成。

 在小红书，一个用户通过“线上分享”消费体验，引发“社区互动”，能够推动其他用户去到“线下消费”，这些用户反过来又会进行更多的“线上分享”，最终形成一个正循环。
 基于“种草”的特性，小红书也成为了爆款和品牌的孵化器。迄今为止，小红书汇聚了全球190多个国家和地区，超过4万个品牌。依靠用户生产的海量真实笔记，小红书已经成长为全球最真实的消费口碑库，更成为新品牌尤其是新国货品牌，取得用户信任的关键一步。
 截止到2019年10月，过去一年，小红书用户在平台发布了超过180万篇国货相关的笔记，同比增长110%，累计获得来自超过4200万人的3亿次分享和讨论，包括美妆护肤品牌自然之名、谷雨、花西子等，服饰鞋靴品牌致知、Maia Active、Ubras、Orange desire等，以及食品品牌小仙炖、钟薛高等越来越多新国货品牌“走红”于小红书。

 小红书秉持有向上、走进用户、开放心态、务实、担当的企业文化，致力于成为最受用户信任的互联网公司。2015年9月，国务院总理李克强来到小红书视察时寄语，“今天的成绩，三分靠创新，七分靠打拼“。2020年3月，中央政治局委员、上海市委书记李强走访小红书时寄语，要充分看到新经济、新消费等发展机遇，充分依托上海的市场优势、场景优势、资源优势，找准各类消费群体的兴奋点、关注点、聚焦点，时不我待，深入谋划，创新方式，进一步精准有效搭建消费平台、释放消费潜力、做强消费品牌。
2017年12月24日，小红书和华为等优秀公司一起，被《人民日报》评为代表中国消费科技产业的“中国品牌奖”。
 小红书总部位于上海新天地，在北京设有分公司，武汉设有研发中心和用户服务中心，目前员工总计超过2000人。

 小红书社区用户分享的真实笔记正在影响着一代人的消费决策，也因此吸引了全球优质品牌的入驻。小红书商城作为生活方式社区的重要板块，专注于服务消费升级大潮中的年轻时尚群体，网罗全球潮流好物。依托独有的社区口碑营销和品牌内容推广，帮助品牌更有效的与优质用户互动，获得快速可持续的增长。目前，各类品牌旗舰店、综合商店等第三方商户所销售的产品数量占商城总量的95%。

 小红书企业号部门围绕“企业号”这一核心产品，整合公司从社区营销一直到交易闭环的资源，更好地连接消费者和品牌，帮助品牌在小红书完成一站式闭环营销，提供全链条服务。迄今为止，已有包括时尚服饰、美妆个护、生活服务等在内的23个行业，近4万个企业开通了企业号。

 经过近7年的累积，小红书特有的真实、向上、多元的社区氛围，不断吸引着越来越多的伙伴，探索着美好生活的更多可能性。小红书独特的城市生态，正在吸引更多品牌和行业伙伴，共同探索未来的商业价值。"
unknown:1980673775,1980673775,unknown,风控策略运营,小红书,互联网,D轮及以上融资,1000-2000人,西湖区,25-50k·16薪,3-5年,本科,,5月15日更新,招1人,,标题领域词=风控; 标题岗位词=运营; 公司标签=互联网,https://www.liepin.com/zpfengkongyunying/,https://www.liepin.com/zpfengkongyunying/pn2/,https://www.liepin.com/job/1980673775.shtml,2026-05-23T12:52:11+08:00,2026-05-23T12:52:11+08:00,"工作职责：
1、策略制定与维护：负责平台账号全生命周期与流量安全层面的风险策略运营，对抗机器注册、盗号、爬虫、刷量、自动化脚本、设备群控等黑灰产行为
2、数据分析与风险挖掘：监控账号安全与流量安全核心指标，通过 SQL/Python 挖掘异常数据特征，发现潜在风险并输出分析报告
3、闭环运营机制建设：建立风险感知—策略处置—效果评估的闭环运营机制，持续优化策略命中率与拦截精准度，平衡安全与用户体验
4、案件处置与策略调优：处理用户关于账号封禁的申诉，分析误判原因，优化策略逻辑，降低误杀率
5、治理推进与跨部门协作：主导冷门接口、低优先级服务的风险识别与治理，协调算法、研发、产品、业务等相关方完成策略迭代与系统能力（如验证码、设备指纹、人脸识别等）的落地

任职资格：
1、本科及以上学历，统计学、计算机、数学或相关专业优先
2、3年以上互联网风控策略运营经验，有大型社交、电商或 O2O 平台账号风控或流量治理经验者优先
3、精通 SQL，具备一定的 Python 数据分析能力与数据建模思维
4、对互联网＂黑灰产＂产业链有深刻理解，熟悉常见攻击手段（爬虫、刷量、批量注册、设备群控等）及防御逻辑
5、数据敏感度高，能从海量数据中发现风险规律，具备策略设计与效果评估能力
6、具备极强的逻辑思维能力、抗压能力和沟通协作能力，善于跨团队拉齐认知、推动治理落地","小红书由毛文超和瞿芳于2013年在上海创立。小红书以“Inspire Lives分享和发现世界的精彩”为使命，用户可以通过短视频、图文等形式记录生活点滴，分享生活方式，并基于兴趣形成互动。

 2018年6月1日，小红书完成了超过3亿美元的新一轮融资，由阿里巴巴领投，金沙江创投、腾讯投资、纪源资本、元生资本、天图投资、真格基金、K11郑志刚先生等机构公司及个人跟投，估值超过30亿美元。截至到2019年10月，小红书月活跃用户数已经过亿，其中70%用户是90后，并持续快速增长。
凭借真实、向上、多元的社区氛围，小红书已成为年轻人不可替代的生活方式平台和消费决策入口，具有制造流行和热点的能力。

 小红书社区目前内容覆盖时尚、美妆、个护、美食、旅行、娱乐、读书、健身、母婴等各个生活方式领域，每天产生超过80亿次的笔记曝光。过去一年中，小红书用户分享的内容呈几何级数增长，截止到2019年12月，用户分享笔记量增长4.4倍，其中教育学习类笔记发布量上涨6.4倍，体育赛事类上涨8.4倍，摄影类上涨6.2倍。

 作为生活方式社区，小红书因“种草经济”闻名，独特性就在于，大部分互联网社区更多是依靠线上的虚拟身份，而小红书用户发布的内容都来自于真实生活。对用户而言，小红书并不能像其他虚拟社区一样，提供线上内容消费的即时满足感。用户在小红书不论是发现了一支适合自己的口红，还是发现了一个想去的景点或餐厅，想要获得消费的满足感，必须在现实生活中才能完成。

 在小红书，一个用户通过“线上分享”消费体验，引发“社区互动”，能够推动其他用户去到“线下消费”，这些用户反过来又会进行更多的“线上分享”，最终形成一个正循环。
 基于“种草”的特性，小红书也成为了爆款和品牌的孵化器。迄今为止，小红书汇聚了全球190多个国家和地区，超过4万个品牌。依靠用户生产的海量真实笔记，小红书已经成长为全球最真实的消费口碑库，更成为新品牌尤其是新国货品牌，取得用户信任的关键一步。
 截止到2019年10月，过去一年，小红书用户在平台发布了超过180万篇国货相关的笔记，同比增长110%，累计获得来自超过4200万人的3亿次分享和讨论，包括美妆护肤品牌自然之名、谷雨、花西子等，服饰鞋靴品牌致知、Maia Active、Ubras、Orange desire等，以及食品品牌小仙炖、钟薛高等越来越多新国货品牌“走红”于小红书。

 小红书秉持有向上、走进用户、开放心态、务实、担当的企业文化，致力于成为最受用户信任的互联网公司。2015年9月，国务院总理李克强来到小红书视察时寄语，“今天的成绩，三分靠创新，七分靠打拼“。2020年3月，中央政治局委员、上海市委书记李强走访小红书时寄语，要充分看到新经济、新消费等发展机遇，充分依托上海的市场优势、场景优势、资源优势，找准各类消费群体的兴奋点、关注点、聚焦点，时不我待，深入谋划，创新方式，进一步精准有效搭建消费平台、释放消费潜力、做强消费品牌。
2017年12月24日，小红书和华为等优秀公司一起，被《人民日报》评为代表中国消费科技产业的“中国品牌奖”。
 小红书总部位于上海新天地，在北京设有分公司，武汉设有研发中心和用户服务中心，目前员工总计超过2000人。

 小红书社区用户分享的真实笔记正在影响着一代人的消费决策，也因此吸引了全球优质品牌的入驻。小红书商城作为生活方式社区的重要板块，专注于服务消费升级大潮中的年轻时尚群体，网罗全球潮流好物。依托独有的社区口碑营销和品牌内容推广，帮助品牌更有效的与优质用户互动，获得快速可持续的增长。目前，各类品牌旗舰店、综合商店等第三方商户所销售的产品数量占商城总量的95%。

 小红书企业号部门围绕“企业号”这一核心产品，整合公司从社区营销一直到交易闭环的资源，更好地连接消费者和品牌，帮助品牌在小红书完成一站式闭环营销，提供全链条服务。迄今为止，已有包括时尚服饰、美妆个护、生活服务等在内的23个行业，近4万个企业开通了企业号。

 经过近7年的累积，小红书特有的真实、向上、多元的社区氛围，不断吸引着越来越多的伙伴，探索着美好生活的更多可能性。小红书独特的城市生态，正在吸引更多品牌和行业伙伴，共同探索未来的商业价值。"
